"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"370",35,0.0139999999999999,0.717,195484,0.582,0.148,-8.121,0.0788,93.988,0.585,11
"371",26,0.116,0.789,207000,0.474,0.0423,-11.202,0.0333,141.957,0.688,26
"372",46,0.000325,0.63,234240,0.918,0.103,-5.052,0.0412,126.322,0.485,11
"373",32,0.031,0.718,95077,0.77,0.402,-6.018,0.0336,92.974,0.233,33
"375",60,0.208,0.593,220800,0.569,0.221,-7.071,0.164,149.908,0.3,19
"376",48,0.357,0.44,312814,0.526,0.091,-10.324,0.0322,128.017,0.115,8
"377",26,0.48,0.89,200960,0.856,0.433,-6.708,0.136,122.653,0.919,8
"378",37,0.0796,0.61,374445,0.606,0.108,-8.085,0.0565,84.475,0.643,41
"379",32,0.225,0.646,269627,0.879,0.345,-8.556,0.0557,88.013,0.107,8
"380",41,0.00413,0.636,376173,0.898,0.191,-6.279,0.0941,141.957,0.439,18
"381",36,0.843,0.552,288600,0.256,0.106,-17.753,0.0306,95.028,0.0399,6
"383",57,0.00172,0.532,236800,0.949,0.308,-3.903,0.0544,149.996,0.604,19
"384",39,0.0009429999999999,0.75,241127,0.635,0.54,-6.277,0.0503,135.032,0.617,9
"385",51,0.00547,0.412,382765,0.903,0.384,-5.955,0.0749,121.08,0.106,40
"386",40,0.0209,0.452,291507,0.956,0.163,-5.536,0.039,105.983,0.296,39
"387",46,0.304,0.306,289733,0.429,0.149,-9.464,0.0269,141.957,0.174,7
"392",24,0.504,0.267,240763,0.46,0.314,-10.06,0.0344,119.964,0.0811,38
"393",49,0.00464,0.602,284947,0.695,0.0888,-6.926,0.0281,103.002,0.733,7
"394",56,0.342,0.51,293752,0.505,0.117,-13.053,0.0344,114.532,0.318,4
"395",33,0.011,0.544,288560,0.828,0.357,-11.09,0.0368,174.015,0.613,45
"396",70,0.00971,0.693,259387,0.875,0.0601,-8.354,0.0315,120.048,0.901,14
"397",73,0.000479,0.467,180880,0.958,0.299,-4.808,0.0775,145.92,0.701,7
"399",29,0.00796,0.51,113570,0.641,0.158,-9.199,0.112,141.957,0.0364,9
"401",50,0.0307,0.802,4e+05,0.702,0.0936,-8.503,0.0804,108.006,0.186,22
"405",30,0.102,0.679,188267,0.913,0.339,-6.036,0.101,170.054,0.729,5
"406",37,0.0216,0.566,236133,0.809,0.283,-5.396,0.0599,124.954,0.271,33
"408",34,0.000625,0.696,217983,0.905,0.0882,-5.932,0.092,128.071,0.341,7
"410",36,0.000135,0.522,367720,0.811,0.129,-6.24,0.0424,124.977,0.295,40
"411",39,0.0362,0.185,303824,0.718,0.166,-5.791,0.0468,113.136,0.0488,10
"412",37,0.251,0.727,192500,0.66,0.108,-12.566,0.0397,115.993,0.527,23
"413",23,0.000749,0.541,271289,0.946,0.244,-3.812,0.171,141.957,0.474,21
"414",26,0.00674,0.652,276167,0.806,0.0656,-6.394,0.0467,139.931,0.231,11
"416",27,0.0128,0.669,362667,0.871,0.0954,-4.642,0.0362,136.903,0.515,9
"417",24,0.000122,0.708,160036,0.955,0.141,-4.018,0.0358,134.985,0.492,22
"418",47,0.465,0.797,219533,0.811,0.278,-6.303,0.0892,102.5,0.72,19
"419",28,0.011,0.703,311823,0.569,0.123,-7.888,0.0438,141.957,0.529,26
"421",43,0.801,0.499,53120,0.13,0.241,-23.436,0.0408,107.791,0.536,30
"423",29,0.0164,0.547,221519,0.839,0.0905,-4.421,0.0825,139.781,0.0433,5
"424",31,0.123,0.56,180856,0.422,0.361,-11.285,0.0534,170.075,0.147,5
"427",65,0.257,0.738,350055,0.512,0.0824,-12.924,0.0668,141.957,0.0867,5
"428",33,0.466,0.719,294783,0.353,0.112,-11.814,0.0384,127.974,0.0895,12
"430",33,0.783,0.358,207573,0.549,0.0928,-8.012,0.0766,148.118,0.0854,7
"431",34,0.0156,0.795,226480,0.623,0.0586,-7.119,0.0752,105.547,0.752,22
"433",36,0.302,0.734,253714,0.901,0.185,-3.762,0.137,139.951,0.931,18
"434",48,0.00465,0.486,199187,0.739,0.0428,-2.714,0.0255,93.984,0.274,33
"435",32,0.479,0.708,190362,0.87,0.111,-2.98,0.118,145.007,0.58,18
"438",41,0.0477,0.609,185254,0.876,0.377,-3.569,0.0745,128.001,0.222,4
"439",43,1.68e-05,0.263,210933,0.719,0.113,-7.239,0.0422,66.667,0.141,12
"440",44,0.00226,0.477,279773,0.833,0.171,-8.271,0.0315,169.968,0.555,15
"441",23,0.000252,0.542,376400,0.566,0.106,-10.391,0.0315,94.996,0.136,12
"442",37,0.0377,0.515,193600,0.938,0.196,-3.823,0.0481,150.059,0.357,7
"445",68,0.192,0.67,162538,0.672,0.0926,-3.469,0.0923,165.075,0.643,36
